k,Accuracy
2,94.0
3,94.78
4,94.83
5,94.81
6,94.62
7,94.61
8,94.65
9,94.59
10,94.46
11,94.53
12,94.24
13,94.36
14,94.07
15,94.07
16,93.99
17,94.03
18,93.89999999999999
19,93.85
20,93.82000000000001
21,93.76
22,93.78
23,93.67999999999999
24,93.61
25,93.60000000000001
26,93.52000000000001
27,93.45
28,93.45
29,93.39
30,93.36
31,93.27
32,93.11
33,93.16
34,93.11
35,93.08
36,93.02
37,92.93
38,93.0
39,92.92
40,92.94
41,92.86999999999999
42,92.86
43,92.82000000000001
44,92.78999999999999
45,92.74
46,92.78999999999999
47,92.75999999999999
48,92.75999999999999
49,92.7
50,92.7
